step 1 , type: TYPE , value: int
step 2 , type: IDENTIFIER , value: fac
step 3 , type: BOARDER , value: (
step 4 , type: TYPE , value: int
step 5 , type: IDENTIFIER , value: x
step 6 , type: BOARDER , value: )
step 7 , type: BOARDER , value: {
step 8 , type: TYPE , value: int
step 9 , type: IDENTIFIER , value: f
step 10 , type: BOARDER , value: ;
step 11 , type: KEYWARD , value: if
step 12 , type: BOARDER , value: (
step 13 , type: IDENTIFIER , value: x
step 14 , type: OPERATOR , value: <=
step 15 , type: NUM , value: 1
step 16 , type: BOARDER , value: )
step 17 , type: BOARDER , value: {
step 18 , type: IDENTIFIER , value: f
step 19 , type: OPERATOR , value: =
step 20 , type: NUM , value: 1
step 21 , type: BOARDER , value: ;
step 22 , type: BOARDER , value: }
step 23 , type: KEYWARD , value: else
step 24 , type: BOARDER , value: {
step 25 , type: IDENTIFIER , value: f
step 26 , type: OPERATOR , value: =
step 27 , type: IDENTIFIER , value: fac
step 28 , type: BOARDER , value: (
step 29 , type: IDENTIFIER , value: x
step 30 , type: OPERATOR , value: -
step 31 , type: NUM , value: 1
step 32 , type: BOARDER , value: )
step 33 , type: OPERATOR , value: *
step 34 , type: IDENTIFIER , value: x
step 35 , type: BOARDER , value: ;
step 36 , type: BOARDER , value: }
step 37 , type: KEYWARD , value: return
step 38 , type: IDENTIFIER , value: f
step 39 , type: BOARDER , value: ;
step 40 , type: BOARDER , value: }
step 41 , type: TYPE , value: void
step 42 , type: IDENTIFIER , value: main
step 43 , type: BOARDER , value: (
step 44 , type: TYPE , value: void
step 45 , type: BOARDER , value: )
step 46 , type: BOARDER , value: {
step 47 , type: TYPE , value: int
step 48 , type: IDENTIFIER , value: a
step 49 , type: BOARDER , value: ;
step 50 , type: TYPE , value: int
step 51 , type: IDENTIFIER , value: b
step 52 , type: BOARDER , value: ;
step 53 , type: TYPE , value: int
step 54 , type: IDENTIFIER , value: c
step 55 , type: BOARDER , value: ;
step 56 , type: IDENTIFIER , value: a
step 57 , type: OPERATOR , value: =
step 58 , type: NUM , value: 3
step 59 , type: BOARDER , value: ;
step 60 , type: IDENTIFIER , value: a
step 61 , type: OPERATOR , value: =
step 62 , type: IDENTIFIER , value: fac
step 63 , type: BOARDER , value: (
step 64 , type: IDENTIFIER , value: fac
step 65 , type: BOARDER , value: (
step 66 , type: IDENTIFIER , value: a
step 67 , type: BOARDER , value: )
step 68 , type: BOARDER , value: )
step 69 , type: BOARDER , value: ;
step 70 , type: KEYWARD , value: return
step 71 , type: BOARDER , value: ;
step 72 , type: BOARDER , value: }
