  ,!=,#,(,),*,+,£¬,-,/,;,<,<=,=,==,>,>=,else,identifier,if,int,num,return,void,while,{,},Actual_parameter_list,Add_expression,Add_expression_loop,Assign_sentence,Call_func,Call_func_check,Const_value,Create_Function_table,Exit_Function_table,Expression,Expression_loop,FTYPE,Factor,Factor_loop,Formal_parameter,Formal_parameter_list,Function_stmt,If_expression,If_sentence,If_sentence_m0,If_sentence_m1,If_sentence_n,Internal_stmt,Internal_variable_stmt,Item,Item_loop,Parameter,Parameter_loop,Program,Relop,Return_expression,Return_sentence,Sentence,Sentence_block,Sentence_block_m,Sentence_loop,Sentence_string,Start,Stmt,Stmt_loop,Stmt_string,Stmt_type,Variavle_stmt,While_sentence,While_sentence_m1,While_sentence_m2
state 0,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r4,error,error,r4,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s1,error,error,error,error,error,error,error,error,error,error,s3,s2,error,error,error,error,error
state 1,error,acc,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 2,error,r1,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 3,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s5,error,error,s6,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s4,error,error,error,error,error,error,error
state 4,error,r2,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r3,error,error,r3,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 5,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s96,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 6,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s7,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 7,error,error,r9,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s8,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 8,error,error,s10,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s9,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 9,error,r6,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r6,error,error,r6,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 10,error,error,error,r15,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r18,error,error,s13,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s11,s12,error,error,error,error,error,error,error,error,error,error,error,s14,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 11,error,error,error,s19,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 12,error,error,error,r13,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 13,error,error,error,r14,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 14,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s16,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s15,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 15,error,error,error,r16,error,error,s18,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 16,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s17,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 17,error,error,error,r19,error,error,r19,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 18,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r17,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
